

RELATIVE TOLERANCE = 8.8970e-15

ITER #        RELATIVE RESIDUAL
***************  *******************
       1               1.9834e-09
       2               1.6998e-09
       3               6.3816e-10
       4               2.7735e-10
       5               1.9074e-10
       6               1.5240e-10
       7               1.0410e-10
       8               7.6071e-11
       9               4.4481e-11
      10               3.0742e-11
      11               2.2772e-11
      12               1.6866e-11
      13               1.5556e-11
      14               1.0898e-11
      15               7.1773e-12
      16               3.7193e-12
      17               2.1739e-12
      18               1.9627e-12
      19               1.4363e-12
      20               1.1053e-12
      21               8.5454e-13
      22               6.0596e-13
      23               4.8436e-13
      24               3.4175e-13
      25               2.5977e-13
      26               1.1440e-13
      27               8.3301e-14
      28               4.7016e-14
      29               2.9929e-14
      30               2.0088e-14
      31               9.7756e-15
      32               7.2030e-15


***PROBLEM CONVERGES IN 32 ITERATIONS***

